"ABCIndicator","AdditionalDeviceData","Assembly","AssetLocation","AssetRoom","BasicSchedulingType","BusinessArea","ControllingArea","ControllingObjectClass","CreatedByUser","Equipment","EquipmentName","FunctionalArea","FunctionalLocation","LastChangeDateTime","LatestAcceptableCompletionDate","LocAcctAssgmtWBSElmntIntID","MainWorkCenter","MainWorkCenterInternalID","MainWorkCenterPlant","MainWorkCenterTypeCode","MaintObjectFreeDefinedAttrib","MaintObjectLocAcctAssgmtNmbr","MaintOrdBasicEndDate","MaintOrdBasicEndDateTime","MaintOrdBasicEndTime","MaintOrdBasicStartDate","MaintOrdBasicStartDateTime","MaintOrdBasicStartTime","MaintOrdPersonResponsible","MaintOrdProcessPhaseCode","MaintOrdProcessSubPhaseCode","MaintOrdSchedldBscEndDateTime","MaintOrdSchedldBscStrtDateTime","MaintOrderReferenceDate","MaintOrderReferenceDateTime","MaintOrderReferenceTime","MaintOrderRoutingNumber","MaintPriority","MaintPriorityType","MaintenanceActivityType","MaintenanceNotification","MaintenanceObjectList","MaintenanceOrder","MaintenanceOrderDesc","MaintenanceOrderInternalID","MaintenanceOrderPlanningCode","MaintenanceOrderType","MaintenancePlannerGroup","MaintenancePlanningPlant","MaintenancePlant","MaintenanceRevision","OperationSystemCondition","OrdIsNotSchedldAutomatically","OrderProcessingGroup","PlantSection","ProfitCenter","ReferenceElement","ResponsibleCostCenter","ScheduledBasicEndDate","ScheduledBasicEndTime","ScheduledBasicStartDate","ScheduledBasicStartTime","SerialNumber","SuperiorProjectNetwork","TechObjIsEquipOrFuncnlLoc","TechnicalObject","TechnicalObjectLabel","WBSElementInternalID","WorkCenter","WorkCenterInternalID","WorkCenterTypeCode"
"","","","","","4","0001","USEA","OC","DBRENNAN","","","","","2023-06-06T15:31:46.000Z",,"0","EDOHR101","10000325","1001","A","","000000005821","2023-03-29","2023-03-29T04:00:00.000Z","04:00:00","2023-03-28","2023-03-28T04:00:00.000Z","04:00:00","","","","2023-03-28T13:00:00.000Z","2023-03-28T13:00:00.000Z","2023-03-29","2023-03-29T03:59:59.000Z","03:59:59","1000000356","","PM","003","10000426",2282,"200000","User field order 1234","OR000000200000","1","SCI1","001","1001","","","","","0","","USEAPROF","","OPS-REG-1","2023-03-28","13:00:00","2023-03-28","13:00:00","","","","","","0","","0",""
"","","","","","4","0001","USEA","OC","DBRENNAN","","","","","2021-02-03T22:27:27.000Z",,"0","EDOHR101","10000325","1001","A","","000000005827","2019-06-12","2019-06-12T04:00:00.000Z","04:00:00","2019-06-11","2019-06-11T04:00:00.000Z","04:00:00","","","","2019-06-11T13:00:00.000Z","2019-06-11T13:00:00.000Z","2019-06-12","2019-06-12T03:59:59.000Z","03:59:59","1000000357","","PM","","10000427",2283,"200001","User field order 2","OR000000200001","1","SCI1","001","1001","","","","","0","","USEAPROF","","OPS-REG-1","2019-06-11","13:00:00","2019-06-11","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SHHOH","","","","","2021-02-03T22:27:34.000Z",,"0","EDOHR101","10000325","1001","A","","000000005859","2020-01-07","2020-01-07T05:00:00.000Z","05:00:00","2019-06-18","2019-06-18T04:00:00.000Z","04:00:00","","","","2020-01-06T20:56:00.000Z","2019-06-18T13:00:00.000Z","2019-06-19","2019-06-19T03:59:59.000Z","03:59:59","1000000358","","PM","003","10000430",2284,"200002","testing1","OR000000200002","1","SCI1","","1001","","","","","0","","USEAPROF","","OPS-REG-1","2020-01-06","20:56:00","2019-06-18","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SHHOH","","","","","2019-07-05T08:26:47.000Z",,"0","EDOHR101","10000325","1001","A","","000000005863","2020-01-23","2020-01-23T05:00:00.000Z","05:00:00","2019-07-03","2019-07-03T04:00:00.000Z","04:00:00","","","","2020-01-22T20:56:00.000Z","2019-07-03T13:00:00.000Z","2019-07-05","2019-07-05T08:21:48.000Z","08:21:48","1000000360","","PM","003","10000432",2286,"200004","testing3","OR000000200004","1","SCI1","","1001","","","","","0","","USEAPROF","","OPS-REG-1","2020-01-22","20:56:00","2019-07-03","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SHHOH","","","","","2021-02-03T22:27:40.000Z",,"0","EDOHR101","10000325","1001","A","","000000005865","2020-01-08","2020-01-08T05:00:00.000Z","05:00:00","2019-06-19","2019-06-19T04:00:00.000Z","04:00:00","","","","2020-01-07T20:56:00.000Z","2019-06-19T13:00:00.000Z","2019-06-20","2019-06-20T03:59:59.000Z","03:59:59","1000000361","","PM","003","10000433",2287,"200005","","OR000000200005","1","SCI1","","1001","","","","","0","","USEAPROF","","OPS-REG-1","2020-01-07","20:56:00","2019-06-19","13:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","JLEE","","","","","2024-02-07T18:09:50.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005884","2024-02-08","2024-02-08T05:00:00.000Z","05:00:00","2024-02-07","2024-02-07T05:00:00.000Z","05:00:00","","","","2024-02-07T13:00:00.000Z","2024-02-07T13:00:00.000Z","2024-02-08","2024-02-08T04:59:59.000Z","04:59:59","1000000381","","PM","003","10000450",2367,"200020","Test data for Andrew","OR000000200020","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2024-02-07","13:00:00","2024-02-07","13:00:00","","","","","","0","","0",""
"C","","","","","4","","USEA","OC","JLEE","","","","POLE00000001","2019-08-15T09:06:54.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005886","2019-07-30","2019-07-30T04:00:00.000Z","04:00:00","2019-07-29","2019-07-29T04:00:00.000Z","04:00:00","","","","2019-07-29T04:00:00.000Z","2019-07-29T04:00:00.000Z","2019-07-30","2019-07-30T03:59:59.000Z","03:59:59","1000000382","","PM","003","10000451",2368,"200021","Test data for SC 2","OR000000200021","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-07-29","04:00:00","2019-07-29","04:00:00","","","EAMS_FL","POLE00000001","POLE00000001","0","","0",""
"","","","","","4","","USEA","OC","JLEE","10000042","Switchgear SW8623 C21 UG","","CESD-C21-UG-06","2019-09-20T02:16:04.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005888","2019-09-20","2019-09-20T04:00:00.000Z","04:00:00","2019-09-19","2019-09-19T04:00:00.000Z","04:00:00","","","","2019-09-19T12:00:00.000Z","2019-09-19T12:00:00.000Z","2019-09-20","2019-09-20T02:15:56.000Z","02:15:56","1000000383","","PM","003","10000452",2369,"200022","Codex Testing FL","OR000000200022","1","SCI1","","1001","1001","","","","0","","USEAPROF","","CONT-REG-2","2019-09-19","12:00:00","2019-09-19","12:00:00","","","EAMS_EQUI","000000000010000042","10000042","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","","2019-07-02T08:56:44.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005890","2019-06-25","2019-06-25T04:00:00.000Z","04:00:00","2019-06-24","2019-06-24T04:00:00.000Z","04:00:00","","","","2019-06-24T04:00:00.000Z","2019-06-24T04:00:00.000Z","2019-06-26","2019-06-26T06:40:56.000Z","06:40:56","1000000384","4","PM","003","10000453",2370,"200023","Test Release SC1","OR000000200023","1","SCI1","","1001","","","","","0","","USEAPROF","","CONT-REG-2","2019-06-24","04:00:00","2019-06-24","04:00:00","","","","","","0","","0",""
"","","","","","4","","USEA","OC","SCCHONG","","","","CESD-C21-UG-06","2019-09-05T03:30:04.000Z",,"0","TEST_CDX","10000402","1001","A","","000000005892","2019-06-25","2019-06-25T04:00:00.000Z","04:00:00","2019-06-24","2019-06-24T04:00:00.000Z","04:00:00","","","","2019-06-24T04:00:00.000Z","2019-06-24T04:00:00.000Z","2019-06-25","2019-06-25T03:59:59.000Z","03:59:59","1000000385","","PM","003","10000454",2371,"200024","Test Release SC2","OR000000200024","1","SCI1","001","1001","1001","","","","0","","USEAPROF","","CONT-REG-2","2019-06-24","04:00:00","2019-06-24","04:00:00","","","EAMS_FL","CESD-C21-UG-06","CESD-C21-UG-06","0","","0",""
